Beacon,RSSI
PicoBeacon2,-53
PicoBeacon1,-46
PicoBeacon2,-41
PicoBeacon1,-59
PicoBeacon2,-56
PicoBeacon1,-62
PicoBeacon2,-56
PicoBeacon1,-45
PicoBeacon2,-42
PicoBeacon1,-75
PicoBeacon2,-55
PicoBeacon1,-45
PicoBeacon2,-55
PicoBeacon1,-78
PicoBeacon2,-55
PicoBeacon1,-46
PicoBeacon2,-56
PicoBeacon1,-58
PicoBeacon2,-41
PicoBeacon1,-60
PicoBeacon2,-52
PicoBeacon1,-59
PicoBeacon2,-40
PicoBeacon2,-41
PicoBeacon1,-44
PicoBeacon2,-57
PicoBeacon2,-53
PicoBeacon2,-55
PicoBeacon2,-41
PicoBeacon2,-55
PicoBeacon1,-44
PicoBeacon1,-43
PicoBeacon2,-55
PicoBeacon1,-59
PicoBeacon2,-40
PicoBeacon1,-47
PicoBeacon2,-50
PicoBeacon2,-41
PicoBeacon1,-58
PicoBeacon1,-61
PicoBeacon2,-52
PicoBeacon1,-43
PicoBeacon1,-73
PicoBeacon1,-60
PicoBeacon1,-58
PicoBeacon2,-37
PicoBeacon1,-58
PicoBeacon1,-46
PicoBeacon2,-51
PicoBeacon2,-49
PicoBeacon1,-43
PicoBeacon1,-58
PicoBeacon2,-40
PicoBeacon1,-60
PicoBeacon1,-62
PicoBeacon1,-73
PicoBeacon2,-55
PicoBeacon1,-60
PicoBeacon2,-49
PicoBeacon1,-62
PicoBeacon2,-55
PicoBeacon1,-74
PicoBeacon2,-40
PicoBeacon2,-54
PicoBeacon1,-64
PicoBeacon1,-49
PicoBeacon2,-52
PicoBeacon2,-31
PicoBeacon1,-44
PicoBeacon2,-56
PicoBeacon1,-75
PicoBeacon2,-55
PicoBeacon1,-60
PicoBeacon2,-55
PicoBeacon1,-64
PicoBeacon2,-40
PicoBeacon2,-50
PicoBeacon1,-59
PicoBeacon2,-41
PicoBeacon2,-52
PicoBeacon1,-60
PicoBeacon2,-50
PicoBeacon1,-60
PicoBeacon2,-42
PicoBeacon2,-50
PicoBeacon1,-44
PicoBeacon2,-40
PicoBeacon2,-41
PicoBeacon1,-68
PicoBeacon2,-55
PicoBeacon1,-45
PicoBeacon2,-40
PicoBeacon1,-60
PicoBeacon2,-56
PicoBeacon1,-59
PicoBeacon2,-56
PicoBeacon2,-36
PicoBeacon1,-59
PicoBeacon1,-45
PicoBeacon2,-50
PicoBeacon2,-55
PicoBeacon1,-79
PicoBeacon2,-36
PicoBeacon2,-54
PicoBeacon2,-54
PicoBeacon2,-45
PicoBeacon1,-45
PicoBeacon2,-55
PicoBeacon2,-55
PicoBeacon1,-45
PicoBeacon1,-63
PicoBeacon2,-56
PicoBeacon1,-76
PicoBeacon2,-39
PicoBeacon1,-59
PicoBeacon2,-55
PicoBeacon1,-45
PicoBeacon1,-63
